Date,School,Opponent
12/19/2015,New Hampshire,Dartmouth
12/19/2015,New Mexico,Rice
12/19/2015,North Florida,Florida A&M
12/19/2015,Northeastern,Michigan State
12/19/2015,Northern Illinois,Florida International
12/19/2015,Northern Kentucky,Southeast Missouri State
12/19/2015,Northwestern State,Missouri Valley
12/19/2015,Oklahoma,Creighton
12/19/2015,Pennsylvania,Ursinus
12/19/2015,Presbyterian,Piedmont
12/19/2015,Providence,Rider
12/19/2015,Radford,North Carolina-Wilmington
12/19/2015,Rhode Island,Iona
12/19/2015,Saint Joseph's,Illinois State
12/19/2015,Saint Louis,Indiana State
12/19/2015,Seton Hall,Wichita State
12/19/2015,South Florida,Alabama-Birmingham
12/19/2015,Southern Mississippi,Georgia State
12/19/2015,St. Bonaventure,South Carolina State
12/19/2015,Stanford,Texas
12/19/2015,Stephen F. Austin,Our Lady of the Lake
12/19/2015,Syracuse,Cornell
12/19/2015,Temple,Delaware State
12/19/2015,Texas A&M,Baylor
12/19/2015,Texas-El Paso,New Mexico State
12/19/2015,Texas-San Antonio,Utah Valley
12/19/2015,Texas Tech,Arkansas-Pine Bluff
12/19/2015,Toledo,Bethune-Cookman
12/19/2015,Valparaiso,Missouri State
12/19/2015,Vanderbilt,Wofford
12/19/2015,Vermont,Fisher College
12/19/2015,Virginia,Villanova
12/19/2015,Virginia Commonwealth,Cincinnati
12/19/2015,Virginia Tech,Grambling
12/19/2015,Washington,Oakland
12/19/2015,Wyoming,Nebraska-Omaha
12/19/2015,Xavier,Auburn
12/19/2015,Mercer,Arkansas
12/19/2015,Penn State,Drexel
12/19/2015,Utah,Duke
12/19/2015,Florida,Oklahoma State
12/19/2015,Florida State,Florida Atlantic
12/19/2015,Gonzaga,Tennessee
12/19/2015,Iowa,Drake
12/19/2015,Northern Iowa,Iowa State
12/19/2015,Kansas State,Colorado State
12/19/2015,Maryland,Princeton
12/19/2015,Indiana,Notre Dame
12/19/2015,Ohio State,Kentucky
12/19/2015,Oregon State,Tulsa
12/19/2015,Portland,Cal State Fullerton
12/19/2015,Butler,Purdue
12/19/2015,Tennessee State,Alcorn State
12/19/2015,North Carolina,UCLA
12/20/2015,American,Maryland-Eastern Shore
12/20/2015,Arkansas-Little Rock,Northern Arizona
12/20/2015,Army,Marist
12/20/2015,Boise State,Bradley
12/20/2015,Cal State Northridge,Bethesda University (CA)
12/20/2015,UC-Riverside,Life Pacific
12/20/2015,Coastal Carolina,Alabama State
12/20/2015,Connecticut,Massachusetts-Lowell
12/20/2015,Denver,Eastern Washington
12/20/2015,Fresno State,Evansville
12/20/2015,Green Bay,Wisconsin-Superior
12/20/2015,James Madison,East Carolina
12/20/2015,Lipscomb,Austin Peay
12/20/2015,Morehead State,Western Carolina
12/20/2015,Morgan State,Manhattan
12/20/2015,Nebraska,Samford
12/20/2015,Rutgers,Monmouth
12/20/2015,Seattle,San Jose State
12/20/2015,St. Francis (NY),Liberty
12/20/2015,St. John's (NY),NJIT
12/20/2015,Stony Brook,Hofstra
12/20/2015,Texas A&M-Corpus Christi,Cal Poly
12/20/2015,Texas Christian,Abilene Christian
12/20/2015,Towson,Rio Grande
12/20/2015,Wright State,Bowling Green State
12/20/2015,Pittsburgh,Davidson
12/21/2015,Boston University,New Hampshire
12/21/2015,Colorado State,South Carolina Upstate
12/21/2015,Coppin State,Eastern Michigan
12/21/2015,Creighton,North Texas
12/21/2015,Florida State,Charleston Southern
12/21/2015,Gardner-Webb,Virginia Military Institute
12/21/2015,Georgia Tech,Southeastern Louisiana
12/21/2015,Gonzaga,Pepperdine
12/21/2015,Holy Cross,Maine
12/21/2015,Jacksonville,Florida A&M
12/21/2015,Jacksonville State,Northern Colorado
12/21/2015,Lamar,Texas Lutheran
12/21/2015,Louisiana-Lafayette,New Orleans
12/21/2015,Loyola (IL),Western Illinois
12/21/2015,Marquette,Chicago State
12/21/2015,Massachusetts,Providence
12/21/2015,New Mexico State,Oral Roberts
12/21/2015,North Carolina,Appalachian State
12/21/2015,North Carolina-Asheville,Elon
12/21/2015,Northwestern,Sacred Heart
12/21/2015,Notre Dame,Youngstown State
12/21/2015,Ohio,Arkansas-Pine Bluff
12/21/2015,Oregon State,Quinnipiac
12/21/2015,Pacific,Santa Clara
12/21/2015,Portland,Loyola Marymount
12/21/2015,Saint Louis,Southern Illinois
12/21/2015,Saint Mary's (CA),San Francisco
12/21/2015,Southern California,Southern Illinois-Edwardsville
12/21/2015,Stanford,Sacramento State
12/21/2015,Tennessee-Martin,Alcorn State
12/21/2015,Texas-Arlington,Sul Ross State
12/21/2015,Texas-El Paso,Norfolk State
12/21/2015,Texas State,Howard Payne
12/21/2015,Toledo,North Carolina A&T
12/21/2015,Utah State,Texas-Rio Grande Valley
12/21/2015,West Virginia,Eastern Kentucky
12/21/2015,William & Mary,High Point
12/21/2015,Oregon,Alabama
12/21/2015,UC-Irvine,Sam Houston State
12/21/2015,Akron,UC-Santa Barbara
12/21/2015,Nebraska-Omaha,Eastern Illinois
12/21/2015,Grand Canyon,Houston
12/21/2015,North Dakota State,Idaho State
12/21/2015,Marshall,Wyoming
12/21/2015,Southern,North Carolina Central
12/22/2015,Air Force,Johnson & Wales
12/22/2015,Alabama-Birmingham,Hiwassee
12/22/2015,Arizona,Long Beach State
12/22/2015,Arizona State,Stephen F. Austin
12/22/2015,Arkansas,North Florida
12/22/2015,Arkansas State,Central Arkansas
12/22/2015,Austin Peay,Wofford
12/22/2015,Binghamton,Florida International
12/22/2015,Butler,Southern Utah
12/22/2015,Cal State Bakersfield,Portland State
12/22/2015,UC-Davis,Idaho
12/22/2015,UC-Riverside,Denver
12/22/2015,Campbell,College of Charleston
12/22/2015,Central Florida,Bethune-Cookman
12/22/2015,Central Michigan,Howard
12/22/2015,Charlotte,Georgetown
12/22/2015,Chattanooga,Radford
12/22/2015,Cincinnati,Iowa State
12/22/2015,Dartmouth,Longwood
12/22/2015,Dayton,Miami (OH)
12/22/2015,DePaul,George Washington
12/22/2015,Drake,Abilene Christian
12/22/2015,Drexel,Pennsylvania
12/22/2015,East Carolina,South Carolina State
12/22/2015,Evansville,Alabama A&M
12/22/2015,Fairfield,Loyola (MD)
12/22/2015,Florida,Jacksonville
12/22/2015,Florida Gulf Coast,Louisiana Tech
12/22/2015,George Mason,Wagner
12/22/2015,Georgia,Clemson
12/22/2015,Georgia Southern,Stetson
12/22/2015,Georgia State,Middle Tennessee
12/22/2015,Hartford,Widener
12/22/2015,Hawaii,Northern Iowa
12/22/2015,Hofstra,Florida Atlantic
12/22/2015,Illinois-Chicago,Purdue Calumet
12/22/2015,Illinois State,Tennessee State
12/22/2015,Indiana,Kennesaw State
12/22/2015,Indiana State,Ball State
12/22/2015,Iowa,Tennessee Tech
12/22/2015,James Madison,Mount St. Mary's
12/22/2015,Kansas State,North Dakota
12/22/2015,La Salle,Miami (FL)
12/22/2015,Lehigh,Stony Brook
12/22/2015,Long Island University,Incarnate Word
12/22/2015,Louisiana State,American
12/22/2015,Louisville,Missouri-Kansas City
12/22/2015,Maryland-Eastern Shore,Central Pennsylvania College
12/22/2015,Memphis,IUPUI
12/22/2015,Mississippi,Troy
12/22/2015,Missouri State,Southeast Missouri State
12/22/2015,Montana,Montana Western
12/22/2015,Navy,Furman
12/22/2015,Nebraska,Prairie View
12/22/2015,Nevada-Las Vegas,South Dakota
12/22/2015,North Carolina State,North Carolina-Greensboro
12/22/2015,Northeastern,Vermont
12/22/2015,Northern Illinois,Roosevelt
12/22/2015,Ohio State,Mercer
12/22/2015,Old Dominion,Rhode Island
12/22/2015,Princeton,Bucknell
12/22/2015,Purdue,Vanderbilt
12/22/2015,Richmond,Presbyterian
12/22/2015,San Diego State,Kansas
12/22/2015,San Jose State,Life Pacific
12/22/2015,Seton Hall,South Florida
12/22/2015,Siena,St. Bonaventure
12/22/2015,South Alabama,Rice
12/22/2015,Syracuse,Montana State
12/22/2015,Tennessee,East Tennessee State
12/22/2015,Texas-El Paso,Sam Houston State
12/22/2015,Texas-San Antonio,Cal Poly
12/22/2015,Texas Tech,Arkansas-Little Rock
12/22/2015,Tulane,Southern Mississippi
12/22/2015,Tulsa,Northern Arizona
12/22/2015,UCLA,McNeese State
12/22/2015,Utah,Delaware State
12/22/2015,Utah State,Idaho State
12/22/2015,Villanova,Delaware
12/22/2015,Virginia,University of California
12/22/2015,Virginia Commonwealth,Buffalo
12/22/2015,Wake Forest,Xavier
12/22/2015,Washington,Seattle
12/22/2015,Weber State,South Dakota State
12/22/2015,Western Kentucky,Detroit Mercy
12/22/2015,Western Michigan,IPFW
12/22/2015,Wichita State,Nevada
12/22/2015,Winthrop,Alabama State
12/22/2015,Wright State,Murray State
12/22/2015,Boston College,Fordham
12/22/2015,Marist,Brown
12/22/2015,UC-Santa Barbara,Iona
12/22/2015,Canisius,Louisiana-Monroe
12/22/2015,Nicholls State,Hampton
12/22/2015,Harvard,Brigham Young
12/22/2015,Grand Canyon,Marshall
12/22/2015,Nebraska-Omaha,Southern
12/22/2015,Auburn,New Mexico
12/22/2015,UC-Irvine,Norfolk State
12/22/2015,North Carolina Central,Eastern Illinois
12/22/2015,North Carolina-Wilmington,Utah Valley
12/22/2015,Michigan State,Oakland
12/22/2015,Colorado,Penn State
12/22/2015,Saint Joseph's,Virginia Tech
12/22/2015,South Carolina,St. John's (NY)
12/22/2015,Southern Methodist,Kent State
12/22/2015,North Dakota State,Texas-Rio Grande Valley
12/22/2015,Oklahoma,Washington State
12/22/2015,Houston,Wyoming
12/23/2015,Albany (NY),Niagara
12/23/2015,Baylor,New Mexico State
12/23/2015,Bradley,Texas Christian
12/23/2015,Cleveland State,Bowling Green State
12/23/2015,Connecticut,Central Connecticut State
12/23/2015,Cornell,Monmouth
12/23/2015,Davidson,Morehead State
12/23/2015,Georgia Tech,Colgate
12/23/2015,Gonzaga,Loyola Marymount
12/23/2015,Hawaii,Oklahoma
12/23/2015,Louisville,Utah Valley
12/23/2015,Michigan,Bryant
12/23/2015,Minnesota,Milwaukee
12/23/2015,Morgan State,Rider
12/23/2015,Northern Kentucky,Indiana-Kokomo
12/23/2015,Pittsburgh,Western Carolina
12/23/2015,Portland,Pepperdine
12/23/2015,Rutgers,Fairleigh Dickinson
12/23/2015,Saint Peter's,St. Francis (NY)
12/23/2015,San Diego,Cal State Northridge
12/23/2015,San Francisco,Pacific
12/23/2015,Santa Clara,Saint Mary's (CA)
12/23/2015,Southern California,Lafayette
12/23/2015,Towson,Maryland-Baltimore County
12/23/2015,Utah State,North Dakota State
12/23/2015,Wisconsin,Green Bay
12/23/2015,Brigham Young,New Mexico
12/23/2015,Canisius,Nicholls State
12/23/2015,Harvard,Auburn
12/23/2015,Idaho State,Texas-Rio Grande Valley
12/23/2015,Illinois,Missouri
12/23/2015,Akron,Iona
12/23/2015,Penn State,Kent State
12/23/2015,Hampton,Louisiana-Monroe
12/23/2015,Mississippi State,Northern Colorado
12/23/2015,North Carolina-Wilmington,Missouri-Kansas City
12/23/2015,Northern Iowa,Washington State
12/23/2015,Southern Methodist,Colorado
12/25/2015,Hawaii,Auburn
12/25/2015,Brigham Young,Northern Iowa
12/25/2015,Oklahoma,Harvard
12/25/2015,Washington State,New Mexico
12/26/2015,Kentucky,Louisville
12/27/2015,Bucknell,Fairfield
12/27/2015,Fresno State,Pacific Union
12/27/2015,Marquette,Presbyterian
12/27/2015,Maryland,Marshall
12/27/2015,Northwestern,Loyola (MD)
12/27/2015,Ohio State,South Carolina State
12/27/2015,Radford,Central Pennsylvania College
12/27/2015,South Dakota State,Middle Tennessee
12/27/2015,Southeast Missouri State,Harris-Stowe
12/27/2015,Stanford,Carroll
12/27/2015,Syracuse,Texas Southern
12/27/2015,Virginia Commonwealth,Liberty
12/28/2015,Arizona State,Cal State Bakersfield
12/28/2015,Army,Monmouth
12/28/2015,Austin Peay,Texas A&M-Corpus Christi
12/28/2015,Belmont,Valparaiso
12/28/2015,Boston University,Kean
12/28/2015,Brown,Bethune-Cookman
12/28/2015,Butler,IUPUI
12/28/2015,University of California,Davidson
12/28/2015,Columbia,Howard
12/28/2015,Creighton,Coppin State
12/28/2015,Duke,Elon
12/28/2015,Eastern Illinois,Hannibal-LaGrange
12/28/2015,Eastern Michigan,Detroit Mercy
12/28/2015,Gardner-Webb,Middle Georgia State
12/28/2015,High Point,Methodist
12/28/2015,Hofstra,Sacred Heart
12/28/2015,Houston,Nicholls State
12/28/2015,Iona,Drexel
12/28/2015,Longwood,Cairn
12/28/2015,Louisiana Tech,Prairie View
12/28/2015,Morehead State,Green Bay
12/28/2015,Morgan State,UC-Riverside
12/28/2015,NJIT,Stony Brook
12/28/2015,North Carolina,North Carolina-Greensboro
12/28/2015,North Carolina-Wilmington,Campbell
12/28/2015,Oakland,Chicago State
12/28/2015,Rutgers,Massachusetts-Lowell
12/28/2015,Sacramento State,Pacific Union
12/28/2015,Saint Mary's (CA),Utah Valley
12/28/2015,Saint Peter's,Cornell
12/28/2015,Seattle,UC-Davis
12/28/2015,Southern Illinois-Edwardsville,Grand Canyon
12/28/2015,Texas Christian,Delaware State
12/28/2015,Utah,College of Idaho
12/28/2015,Villanova,Pennsylvania
12/28/2015,Washington,UC-Santa Barbara
12/28/2015,Weber State,Multnomah
12/28/2015,Western Kentucky,Brescia
12/28/2015,Winthrop,Rio Grande
12/28/2015,South Dakota,Florida Gulf Coast
12/29/2015,Air Force,Western State
12/29/2015,Alabama,Jacksonville State
12/29/2015,Alabama-Birmingham,Stephen F. Austin
12/29/2015,Ball State,Alabama A&M
12/29/2015,Baylor,Texas Southern
12/29/2015,Binghamton,Mount St. Mary's
12/29/2015,Buffalo,Delaware
12/29/2015,Central Florida,George Washington
12/29/2015,Charleston Southern,St. Andrews
12/29/2015,Charlotte,Citadel
12/29/2015,Cincinnati,Temple
12/29/2015,Cleveland State,Cedarville
12/29/2015,Colorado State,Regis
12/29/2015,Eastern Kentucky,Manhattan
12/29/2015,Florida,Florida State
12/29/2015,Florida Atlantic,Tennessee-Martin
12/29/2015,Florida International,Florida A&M
12/29/2015,Georgia,Robert Morris
12/29/2015,Georgia Tech,Duquesne
12/29/2015,Hawaii,Mississippi Valley State
12/29/2015,Houston Baptist,Ecclesia
12/29/2015,Idaho State,Cal State Northridge
12/29/2015,Illinois-Chicago,Northern Illinois
12/29/2015,Iowa,Michigan State
12/29/2015,Jacksonville,Marist
12/29/2015,Kansas,UC-Irvine
12/29/2015,Kansas State,Saint Louis
12/29/2015,Lamar,Howard Payne
12/29/2015,Lipscomb,Chattanooga
12/29/2015,Louisiana State,Wake Forest
12/29/2015,Maine,Quinnipiac
12/29/2015,Massachusetts,Long Island University
12/29/2015,Memphis,Tulane
12/29/2015,Miami (FL),Princeton
12/29/2015,Missouri,Arkansas-Pine Bluff
12/29/2015,New Orleans,Blue Mountain College
12/29/2015,North Carolina-Asheville,Furman
12/29/2015,North Carolina Central,Montreat
12/29/2015,North Carolina State,Northeastern
12/29/2015,North Texas,Sam Houston State
12/29/2015,Notre Dame,Liberty
12/29/2015,Oklahoma State,Missouri-Kansas City
12/29/2015,Old Dominion,Norfolk State
12/29/2015,Oregon,Western Oregon
12/29/2015,Portland State,Cal State Fullerton
12/29/2015,Rice,Incarnate Word
12/29/2015,Saint Joseph's,Maryland-Eastern Shore
12/29/2015,Samford,Miles
12/29/2015,Southern Mississippi,Southeastern Oklahoma State
12/29/2015,St. Francis (NY),Albany (NY)
12/29/2015,Tennessee,Tennessee State
12/29/2015,Texas,Connecticut
12/29/2015,Texas A&M,Cal Poly
12/29/2015,Texas-El Paso,Texas-Rio Grande Valley
12/29/2015,Texas Tech,Richmond
12/29/2015,Tulsa,Southern Methodist
12/29/2015,Vermont,Siena
12/29/2015,William & Mary,Central Michigan
12/29/2015,Wisconsin,Purdue
12/30/2015,Abilene Christian,Hillsdale
12/30/2015,Akron,South Carolina State
12/30/2015,Alabama State,Fort Valley State
12/30/2015,Alcorn State,Louisiana College
12/30/2015,Austin Peay,Westminster (MO)
12/30/2015,Boise State,UC-Davis
12/30/2015,Boston College,New Hampshire
12/30/2015,Brown,Rhode Island
12/30/2015,Bucknell,Navy
12/30/2015,Central Connecticut State,Yale
12/30/2015,Colgate,Lafayette
12/30/2015,Dayton,Arkansas
12/30/2015,DePaul,Georgetown
12/30/2015,Duke,Long Beach State
12/30/2015,East Tennessee State,Morehead State
12/30/2015,Evansville,Indiana State
12/30/2015,Holy Cross,Boston University
12/30/2015,Illinois,Michigan
12/30/2015,Illinois State,Missouri State
12/30/2015,Iowa State,Coppin State
12/30/2015,IPFW,Oral Roberts
12/30/2015,Jackson State,Southeastern Louisiana
12/30/2015,Kennesaw State,Mercer
12/30/2015,Lehigh,Army
12/30/2015,Loyola (IL),Southern Illinois
12/30/2015,Loyola (MD),American
12/30/2015,Marquette,Seton Hall
12/30/2015,Maryland,Penn State
12/30/2015,Middle Tennessee,Trevecca Nazarene
12/30/2015,Murray State,Brescia
12/30/2015,Nebraska,Northwestern
12/30/2015,Nevada-Las Vegas,Fresno State
12/30/2015,New Mexico,Nevada
12/30/2015,New Mexico State,Arizona Christian
12/30/2015,North Carolina,Clemson
12/30/2015,North Carolina A&T,Kent State
12/30/2015,North Dakota State,Northland
12/30/2015,Northern Iowa,Bradley
12/30/2015,Ohio,UC-Riverside
12/30/2015,Ohio State,Minnesota
12/30/2015,Pittsburgh,Syracuse
12/30/2015,Rider,Hartford
12/30/2015,Rutgers,Indiana
12/30/2015,Saint Francis (PA),NJIT
12/30/2015,San Diego State,Wyoming
12/30/2015,San Jose State,Utah State
12/30/2015,Seattle,UC-Santa Barbara
12/30/2015,South Alabama,Arkansas-Little Rock
12/30/2015,South Carolina,Francis Marion
12/30/2015,South Carolina Upstate,Lees-McRae
12/30/2015,South Florida,Houston
12/30/2015,St. Bonaventure,Niagara
12/30/2015,Stetson,Florida Tech
12/30/2015,Texas-Arlington,Georgia State
12/30/2015,Texas State,Georgia Southern
12/30/2015,Toledo,Northern Kentucky
12/30/2015,Troy,Arkansas State
12/30/2015,Vanderbilt,Western Michigan
12/30/2015,Virginia,Oakland
12/30/2015,Virginia Commonwealth,North Florida
12/30/2015,Virginia Military Institute,Bridgewater (VA)
12/30/2015,Virginia Tech,West Virginia
12/30/2015,Wagner,Massachusetts-Lowell
12/30/2015,Western Carolina,Mars Hill
12/31/2015,Ball State,Chicago State
12/31/2015,Butler,Providence
12/31/2015,Cal State Bakersfield,Morgan State
12/31/2015,Central Michigan,Lourdes
12/31/2015,Dartmouth,Bryant
12/31/2015,Elon,Northeastern
12/31/2015,Florida Gulf Coast,La Salle
12/31/2015,Gardner-Webb,Coastal Carolina
12/31/2015,Harvard,Wofford
12/31/2015,High Point,Radford
12/31/2015,Hofstra,Delaware
12/31/2015,Jacksonville,Bethune-Cookman
12/31/2015,Jacksonville State,Southern Illinois-Edwardsville
12/31/2015,James Madison,College of Charleston
12/31/2015,Longwood,North Carolina-Asheville
12/31/2015,Louisiana-Monroe,Appalachian State
12/31/2015,Maryland-Baltimore County,Maryland-Eastern Shore
12/31/2015,Mississippi State,North Carolina Central
12/31/2015,North Carolina-Wilmington,Drexel
12/31/2015,North Dakota,Idaho
12/31/2015,Northern Arizona,Montana
12/31/2015,Northern Colorado,Eastern Washington
12/31/2015,Pacific,San Diego
12/31/2015,Saint Mary's (CA),Brigham Young
12/31/2015,San Francisco,Portland
12/31/2015,Santa Clara,Gonzaga
12/31/2015,Southeast Missouri State,Belmont
12/31/2015,Southern Utah,Montana State
12/31/2015,St. John's (NY),Creighton
12/31/2015,Tennessee Tech,Eastern Illinois
12/31/2015,Villanova,Xavier
12/31/2015,Wichita State,Drake
12/31/2015,William & Mary,Towson
12/31/2015,Winthrop,Campbell
1/1/2016,University of California,Colorado
1/1/2016,Nebraska-Omaha,Western Illinois
1/1/2016,South Dakota,IUPUI
1/1/2016,South Dakota State,Denver
1/1/2016,Stanford,Utah
1/1/2016,Texas-El Paso,Rice
1/1/2016,Texas-San Antonio,North Texas
1/1/2016,Washington,UCLA
1/1/2016,Washington State,Southern California
1/2/2016,Air Force,San Jose State
1/2/2016,Akron,Lipscomb
1/2/2016,Alabama,Norfolk State
1/2/2016,Army,Bucknell
1/2/2016,Auburn,Tennessee
1/2/2016,Austin Peay,Eastern Kentucky
1/2/2016,Boise State,Colorado State
1/2/2016,Boston College,Duke
1/2/2016,Bowling Green State,Oakland City
1/2/2016,Bryant,Central Connecticut State
1/2/2016,Cal State Fullerton,Cal State East Bay
1/2/2016,Cal State Northridge,Morgan State
1/2/2016,UC-Davis,Holy Names
1/2/2016,UC-Irvine,New Mexico State
1/2/2016,UC-Riverside,Cal State Bakersfield
1/2/2016,UC-Santa Barbara,Point Loma Nazarene
1/2/2016,Campbell,Presbyterian
1/2/2016,Central Arkansas,Abilene Christian
1/2/2016,Charleston Southern,High Point
1/2/2016,Cincinnati,Tulsa
1/2/2016,Citadel,Chattanooga
1/2/2016,Clemson,Florida State
1/2/2016,Coastal Carolina,Winthrop
1/2/2016,Cornell,Albany (NY)
1/2/2016,Creighton,Villanova
1/2/2016,Delaware,James Madison
1/2/2016,Detroit Mercy,Youngstown State
1/2/2016,Duquesne,Dayton
1/2/2016,East Carolina,Central Florida
1/2/2016,Eastern Michigan,North Florida
1/2/2016,Elon,Drexel
1/2/2016,Fairleigh Dickinson,St. Francis (NY)
1/2/2016,Florida,Georgia
1/2/2016,Florida Gulf Coast,Eckerd
1/2/2016,Fresno State,New Mexico
1/2/2016,Furman,Virginia Military Institute
1/2/2016,Georgetown,Marquette
1/2/2016,Grambling,Alabama A&M
1/2/2016,Green Bay,Northern Kentucky
1/2/2016,Hartford,Yale
1/2/2016,Hawaii,Howard
1/2/2016,Incarnate Word,Sam Houston State
1/2/2016,Indiana State,Loyola (IL)
1/2/2016,IPFW,Purdue North Central
1/2/2016,Jackson State,Alabama State
1/2/2016,Jacksonville State,Eastern Illinois
1/2/2016,Kansas,Baylor
1/2/2016,Kansas State,West Virginia
1/2/2016,Kent State,Oberlin
1/2/2016,Kentucky,Mississippi
1/2/2016,Lafayette,Loyola (MD)
1/2/2016,Lehigh,Boston University
1/2/2016,Liberty,North Carolina-Asheville
1/2/2016,Longwood,Gardner-Webb
1/2/2016,Louisiana-Lafayette,Appalachian State
1/2/2016,Louisiana Tech,Southern Mississippi
1/2/2016,Maine,Brown
1/2/2016,Manhattan,Fairfield
